15 1902 5665
0 94 -0.0251998 0.112753
1 94 -0.0197244 0.048865
0 95 -0.240597 -0.297358
2 95 -0.252822 -0.318754
0 96 -0.227353 -0.278
2 96 -0.240597 -0.300415
0 97 -0.22226 -0.278
2 97 -0.235503 -0.301434
0 98 -0.213091 -0.270868
2 98 -0.227353 -0.294302
0 99 -0.177435 -0.239283
2 99 -0.195773 -0.264755
2 6 -0.198829 -0.261698
0 100 -0.167248 -0.232151
2 100 -0.186604 -0.258641
0 101 -0.0674115 -0.135359
2 101 -0.0918612 -0.165925
0 102 -0.0429618 -0.111925
2 102 -0.0684302 -0.14351
0 103 -0.00119353 -0.077284
2 103 -0.0276807 -0.108869
0 104 0.00186269 -0.0742274
2 104 -0.0246245 -0.105812
0 105 -0.0898237 -0.0538501
2 105 -0.105105 -0.084416
0 106 -0.261583 -0.314475
2 106 -0.271363 -0.334037
0 95 -0.240801 -0.297358
0 107 -0.227353 -0.277796
2 107 -0.240801 -0.299803
0 108 -0.222463 -0.277796
2 108 -0.235911 -0.301026
0 109 -0.212684 -0.27046
2 109 -0.227353 -0.29369
0 110 -0.180899 -0.236226
2 110 -0.199236 -0.261902
0 111 -0.120997 -0.183653
2 111 -0.143002 -0.212996
0 112 -0.0684302 -0.13597
2 112 -0.0928799 -0.166536
0 113 -0.0464255 -0.115186
2 113 -0.0714865 -0.146567
0 114 -0.0183083 -0.0907329
2 114 -0.0439805 -0.122521
0 115 -0.00119353 -0.077284
2 115 -0.0280882 -0.109072
0 116 0.00125147 -0.0748387
2 116 -0.0256432 -0.106627
0 117 0.279978 0.0523153
2 117 0.248438 0.0232166
0 118 -0.220996 -0.277551
2 118 -0.235666 -0.301026
0 119 -0.212195 -0.270216
2 119 -0.226864 -0.29369
2 44 -0.188234 -0.260679
0 120 -0.0684302 -0.136704
2 120 -0.0933689 -0.167514
0 121 -0.000948978 -0.0765504
2 121 -0.0273547 -0.108828
0 122 -0.261485 -0.314817
2 122 -0.272047 -0.334184
0 123 -0.240361 -0.297211
2 123 -0.25327 -0.318632
0 124 -0.220996 -0.277845
2 124 -0.235079 -0.300733
2 58 -0.184322 -0.259946
2 61 -0.143246 -0.212996
0 125 -0.000948978 -0.0771372
2 125 -0.0273547 -0.108828
0 126 -0.220644 -0.277845
2 126 -0.235432 -0.301085
2 70 -0.188957 -0.265169
0 127 -0.155158 -0.229252
2 127 -0.17552 -0.257011
0 128 -0.0453105 -0.113053
2 128 -0.07066 -0.144744
0 129 -0.188957 -0.0771372
2 129 -0.193182 -0.106715
0 130 -0.000948978 -0.0771372
2 130 -0.0284109 -0.108828
0 126 -0.221912 -0.27869
0 131 -0.149919 -0.224943
2 131 -0.171213 -0.253337
0 132 -0.125584 -0.0424042
2 132 -0.135724 -0.0733343
0 133 -0.334321 -0.365622
3 133 -0.352047 -0.352377
0 134 -0.220222 -0.278
3 134 -0.253841 -0.278
0 135 -0.225316 -0.276981
3 135 -0.258934 -0.276981
0 136 -0.0592616 0.189658
3 136 -0.0949174 0.160111
0 133 -0.334932 -0.365826
3 23 -0.0898237 -0.290226
0 137 -0.253026 -0.297358
3 137 -0.283588 -0.294913
3 107 -0.26036 -0.277796
